family_1,family_2,recommendation_score
Beige,Grey,2195
Brown,Grey,790
Beige,Brown,688
Blue,Grey,426
Beige,Blue,151
Black,Grey,114
Grey,White,66
Green,Grey,56
Black,Brown,55
Beige,Black,55
Grey,Pink,55
Beige,Pink,36
Beige,White,34
Blue,Brown,32
Beige,Green,29
Grey,Red,18
Beige,Yellow,17
Grey,Orange,17
Beige,Orange,15
Brown,Pink,14
Brown,White,13
Beige,Red,13
Grey,Yellow,13
Blue,White,11
Brown,Orange,10
Brown,Yellow,8
Brown,Green,8
Grey,Purple,7
Brown,Red,5
Black,Blue,4
Blue,Green,4
Blue,Pink,4
Beige,Purple,2
Blue,Purple,2
Orange,Yellow,2
Red,White,2
Black,Red,1
Black,White,1
Pink,Red,1
Purple,White,1
Black,Green,0
Black,Pink,0
Black,Purple,0
